Threshold;Lectin;Tissue;Mean_H;SD_H;N
0,22;MAL;GENEL DOKU;42,67;28,25;73
0,22;MAL;GONAD;62,82;21,77;63
0,22;SNA;GENEL DOKU;36,7;24,68;67
0,22;SNA;GONAD;35,15;28,74;76
0,22;WGA;GENEL DOKU;66,34;23,41;60
0,22;WGA;GONAD;81,53;47,54;82
0,28;MAL;GENEL DOKU;23,97;23,99;73
0,28;MAL;GONAD;42,24;20,36;63
0,28;SNA;GENEL DOKU;19,79;22,45;67
0,28;SNA;GONAD;22,64;22,23;76
0,28;WGA;GENEL DOKU;49,39;25,54;60
0,28;WGA;GONAD;71,12;46,38;82
0,3;MAL;GENEL DOKU;19,72;21,76;73
0,3;MAL;GONAD;36,12;19,59;63
0,3;SNA;GENEL DOKU;16,66;20,95;67
0,3;SNA;GONAD;19,4;20,13;76
0,3;WGA;GENEL DOKU;44,7;25,51;60
0,3;WGA;GONAD;67,65;45,74;82
